material,category,density min,density max,young-x min,young-x max,young-y min,young-y max,young-z min,young-z max,poisson min,poisson max,freq-loss min,freq-loss max,const-loss min,const-loss max,notes
Ash,wood,710,,1.60E+10,,1.60E+09,,9.00E+08,,,,,,,,
Balsa,wood,160,,6.00E+09,,3.00E+08,,1.00E+08,,,,,,,,
Bamboo,wood,300,400,1.40E+10,,,,,,,,,,,,
Beech,wood,700,,1.40E+10,,2.20E+09,,1.10E+09,,,,,,,,
Birch,wood,670,,1.60E+10,,1.10E+09,,6.00E+08,,,,,,,,
Cocobolo,wood,1070,,1.30E+10,,,,,,,,,,,,
Ebony,wood,1010,,1.80E+10,1.90E+10,,,,,,,,,,,
Douglas Fir,wood,530,,1.60E+10,,1.10E+09,,8.00E+08,,,,,,,,
Larch,wood,590,,1.20E+10,,,,,,,,,,,,
Mahogany,wood,500,850,1.20E+10,,1.10E+09,,6.00E+08,,,,,,,,
African Mahogany,wood,540,550,1.20E+10,,9.30E+08,1.20E+09,,,,,,,,,
Maple,wood,800,,1.70E+10,,1.50E+09,,7.30E+08,,,,,,,,
European Maple,wood,640,,1.00E+10,,2.20E+09,,,,,,,,,,
Oak,wood,600,900,1.10E+10,,,,,,,,,,,,
African Padouk (Pterocarpus),wood,650,790,9.54E+09,1.40E+10,,,,,,,8.22E-06,,6.22,,
Pernambuco,wood,970,1000,2.00E+10,2.20E+10,,,,,,,,,,,
Pine,wood,350,500,9.00E+09,,,,,,,,,,,,
Scots Pine,wood,510,,1.60E+10,,1.10E+09,,6.00E+08,,,,,,,,
Redwood,wood,380,,9.50E+09,,9.60E+08,,,,,,,,,,
Rosewood,wood,820,1080,2.13E+10,2.30E+10,2.30E+09,,1.15E+09,,,,,,,,
Brazilian Rosewood (Pallisandre),wood,830,850,1.60E+10,,2.80E+09,,,,,,4.70E-06,,25.79,,
Indian Rosewood,wood,730,740,1.20E+10,,1.70E+09,2.20E+09,,,,,,,,,
Spruce,wood,400,700,1.00E+10,1.60E+10,4.00E+08,9.00E+08,4.00E+08,6.00E+08,,,,,,,
Canadian Spruce,wood,450,,1.10E+10,,,,,,,,,,,,
Norway Spruce,wood,460,,1.50E+10,,9.30E+08,,,,,,,,,,
Sitka Spruce,wood,460,470,1.30E+10,,8.90E+08,1.30E+09,,,,,,,,,
Teak,wood,650,980,1.30E+10,,,,,,,,,,,,
Walnut,wood,490,630,1.10E+10,,1.20E+09,,6.00E+08,,,,,,,,
Aluminium,metal,2700,,7.00E+10,,,,,,0.35,,,,,,
Bismuth,metal,9780,,3.20E+10,,,,,,0.38,,,,,,
Brass,metal,8500,,1.00E+11,1.25E+11,,,,,0.33,,,,,,
Bronze,metal,7400,8900,9.60E+10,1.20E+11,,,,,0.34,,,,,,
Cesium,metal,1930,,1.70E+09,,,,,,0.3,,,,,,
Copper,metal,8940,,1.10E+11,1.28E+11,,,,,0.35,,,,,,
Gold,metal,19300,,7.90E+10,,,,,,0.43,,,,,,
Iridium,metal,22560,,5.20E+11,,,,,,0.26,,,,,,
Iron,metal,7870,,1.90E+11,2.11E+11,,,,,0.3,,,,,,
Lead,metal,11340,,1.60E+10,,,,,,0.43,,,,,,
Lithium,metal,534,,4.90E+09,,,,,,0.36,,,,,,
Magnesium,metal,1740,,4.30E+10,,,,,,0.29,,,,,,
